,Episodes,Scores,Time,Best Score,Best Time
0,1000,0.04,1.56,1,3
1,2000,0.12,1.2,1,2
2,3000,0.08,1.16,1,3
3,4000,0.2,1.4,1,3
4,5000,0.08,1.4,1,4
5,6000,0.08,2.36,1,7
6,7000,0.2,1.76,1,7
7,8000,0.28,2.04,1,6
8,9000,0.24,2.08,1,5
9,10000,0.36,2.4,1,7
10,11000,0.36,3.04,1,7
11,12000,0.44,2.72,2,7
12,13000,0.56,2.8,2,6
13,14000,0.48,2.08,2,5
14,15000,0.36,2.32,2,7
15,16000,0.32,2.2,2,6
16,17000,0.6,2.76,2,7
17,18000,0.44,2.48,2,5
18,19000,0.44,2.4,2,5
19,20000,0.48,2.24,1,5
20,21000,0.28,2.08,2,5
21,22000,0.4,2.56,2,5
22,23000,0.08,1.52,1,4
23,24000,0.32,2.24,2,7
24,25000,0.48,2.64,2,11
25,26000,0.6363636363636364,3.0,2,7
26,27000,0.36,2.08,1,4
27,28000,0.8,3.6,3,7
28,29000,0.44,2.92,3,10
29,30000,0.56,2.8,2,7
30,31000,0.88,2.72,3,9
31,32000,0.5833333333333334,2.6666666666666665,2,11
32,33000,0.84,3.28,3,11
33,34000,0.76,3.8,4,11
34,35000,0.56,2.6,2,6
35,36000,0.7619047619047619,3.4285714285714284,3,10
36,37000,0.52,2.08,2,6
37,38000,1.12,4.32,3,10
38,39000,0.76,3.12,3,12
39,40000,0.8,3.48,2,8
40,41000,0.64,2.16,2,6
41,42000,0.8,3.08,2,8
42,43000,1.0416666666666667,4.0,4,11
43,44000,0.75,3.0,3,9
44,45000,0.8,2.96,4,12
45,46000,1.0,4.041666666666667,3,13
46,47000,1.0,3.6666666666666665,3,12
47,48000,1.08,3.96,3,11
48,49000,1.16,4.92,4,12
49,50000,1.04,4.4,3,11
50,51000,1.0416666666666667,3.75,3,10
51,52000,1.125,3.125,3,12
52,53000,1.08,4.2,3,13
53,54000,1.04,3.88,2,13
54,55000,0.96,3.28,3,12
55,56000,1.12,3.44,3,12
56,57000,1.0,3.7083333333333335,3,10
57,58000,1.0,2.68,3,9
58,59000,1.0,4.0,2,13
59,60000,1.28,3.64,4,13
60,61000,1.2,4.24,3,11
61,62000,0.96,2.84,3,9
62,63000,1.4,4.96,5,18
63,64000,1.125,4.25,3,15
64,65000,1.3333333333333333,4.25,4,15
65,66000,1.36,4.16,4,13
66,67000,0.96,3.92,3,13
67,68000,1.0434782608695652,3.5217391304347827,4,15
68,69000,1.0416666666666667,3.7083333333333335,3,14
69,70000,1.16,4.24,3,15
70,71000,0.84,3.2,3,10
71,72000,1.16,4.28,5,13
72,73000,1.24,3.96,4,15
73,74000,1.32,4.28,5,12
74,75000,2.08,6.12,7,20
75,76000,1.88,5.84,4,14
76,77000,1.0869565217391304,3.1739130434782608,3,11
77,78000,1.68,5.6,5,25
78,79000,2.04,6.12,6,14
79,80000,1.5,4.708333333333333,3,10
80,81000,1.76,6.04,5,17
81,82000,1.2,4.48,4,16
82,83000,1.44,4.68,5,17
83,84000,1.24,4.52,6,17
84,85000,1.96,6.12,5,13
85,86000,1.56,5.4,4,16
86,87000,1.84,6.92,5,18
87,88000,2.32,6.44,5,18
88,89000,1.84,6.6,4,17
89,90000,1.24,5.04,4,26
90,91000,1.72,6.2,5,20
91,92000,1.92,6.36,6,14
92,93000,2.04,6.44,9,22
93,94000,1.48,5.32,5,18
94,95000,1.72,6.28,5,19
95,96000,1.96,6.64,6,19
96,97000,2.375,8.5,7,22
97,98000,2.24,6.72,7,18
98,99000,2.12,6.16,5,18
99,100000,1.64,5.72,5,15
100,101000,1.68,6.64,6,19
101,102000,2.32,8.16,5,21
102,103000,1.96,6.32,5,17
103,104000,2.04,6.76,7,18
104,105000,2.2,7.44,5,20
105,106000,2.28,8.08,7,20
106,107000,2.32,8.44,8,22
107,108000,2.16,7.76,5,18
108,109000,1.84,6.44,4,20
109,110000,3.0,9.92,6,23
110,111000,2.68,9.08,6,26
111,112000,2.6,8.56,5,22
112,113000,3.24,10.24,6,24
113,114000,2.64,8.6,6,21
114,115000,2.28,8.16,7,20
115,116000,3.04,9.04,9,23
116,117000,4.0,12.8,9,30
117,118000,2.56,7.88,7,21
118,119000,3.28,11.04,9,27
119,120000,2.72,9.36,6,23
120,121000,2.88,11.04,7,29
121,122000,4.0,13.56,9,27
122,123000,3.92,14.52,7,37
123,124000,3.12,11.72,7,33
124,125000,4.16,13.96,10,33
125,126000,3.88,13.4,8,28
126,127000,4.04,13.48,9,31
127,128000,4.04,14.52,8,29
128,129000,3.28,12.68,7,33
129,130000,3.48,13.6,7,33
130,131000,4.2,15.24,8,37
131,132000,3.84,14.36,7,29
132,133000,3.72,12.6,9,33
133,134000,4.4,16.76,9,41
134,135000,4.4,14.96,9,28
135,136000,3.84,14.24,8,35
136,137000,3.6,12.8,7,32
137,138000,4.4,16.88,9,41
138,139000,5.0,17.56,9,38
139,140000,3.88,14.96,8,44
140,141000,4.32,15.28,9,31
141,142000,3.72,12.68,10,34
142,143000,4.36,15.28,8,34
143,144000,5.08,19.52,9,40
144,145000,4.32,15.96,8,41
145,146000,4.76,17.96,9,34
146,147000,5.36,21.96,9,45
147,148000,5.36,19.52,8,37
148,149000,5.16,17.24,10,33
149,150000,5.48,19.96,10,37
